Волонтерська допомога,Volunteer assistance,Dobrovolnictví,Допомога літнім людям,Helping elderly people,Pomoc starším lidem
Волонтерська допомога,Volunteer assistance,Dobrovolnictví,Транспортні перевезення,Transportation,Doprava a přeprava
Волонтерська допомога,Volunteer assistance,Dobrovolnictví,Доставка пального,Delivery of fuel,Dodávka paliva
Волонтерська допомога,Volunteer assistance,Dobrovolnictví,Надання або пошук житла,Giving or searching for housing,Poskytnutí nebo vyhledání ubytování
Волонтерська допомога,Volunteer assistance,Dobrovolnictví,Доставка їжі,Delivery of food,Rozvoz jídla
Волонтерська допомога,Volunteer assistance,Dobrovolnictví,Доставка медикаментів,Delivery of medicines,Dodávka léků
Волонтерська допомога,Volunteer assistance,Dobrovolnictví,Психологічна допомога,Psychological help,Psychologická pomoc
Волонтерська допомога,Volunteer assistance,Dobrovolnictví,Допомога тваринам,Assistance to animals,Pomoc zvířatům
Кур'єрські послуги,Courier services,Kurýrní služby,Кур'єрська доставка,Courier delivery,Kurýrní doručování
Кур'єрські послуги,Courier services,Kurýrní služby,Доставка продуктів,Product delivery,Doručení potravin
Кур'єрські послуги,Courier services,Kurýrní služby,Доставка готової їжі,Delivery of finished food,Doručení hotových jídel
Кур'єрські послуги,Courier services,Kurýrní služby,Доставка ліків,Delivery of medication,Doručení léků
Кур'єрські послуги,Courier services,Kurýrní služby,Кур'єр на авто,A courier on a car,Rozvoz autem
Кур'єрські послуги,Courier services,Kurýrní služby,Доставка товару з інтернетмагазину,Delivery of goods from the online store,Doručení zboží z internetového obchodu
Кур'єрські послуги,Courier services,Kurýrní služby,Доставка документів,Delivery of documents,Doručení dokumentů
Кур'єрські послуги,Courier services,Kurýrní služby,Доставка подарунків,Delivery of gifts,Doručení dárků
Кур'єрські послуги,Courier services,Kurýrní služby,Доставка квітів,Delivery of flowers,Doručení květin
Кур'єрські послуги,Courier services,Kurýrní služby,Відправити поїздом або маршруткою,Send by train or shuttle bus,Odeslání vlakem nebo autobusem
Кур'єрські послуги,Courier services,Kurýrní služby,Забрати і відправити поштою,Pick up and send by mail,Vyzvednutí a zaslání poštou
Кур'єрські послуги,Courier services,Kurýrní služby,Знайти,Find,Najít
